ID,Funder_Name,Program_Name,Funder_Type,CFDA_Number,Award_Min,Award_Max,Project_Period_Years,Deadline_Typical,Match_Required,Eligibility,Purpose,Priority_Area,Priority_Level,Contact_Email,Website,Relationship_Status,Notes
F001,U.S. Department of Education,Strengthening HBCUs (Title III-B),Federal,84.031B,250000,1000000,5,March-April,No,Accredited HBCUs,"Planning, developing, or implementing activities to strengthen institutional management, academic programs, and student services",Institutional Capacity,HIGHEST,hbcu@ed.gov,https://www2.ed.gov/programs/iduestitle3b/,Cold,Annual submission recommended; core institutional support
F002,U.S. Department of Education,Strengthening HBCU Masters Programs,Federal,84.382B,250000,750000,5,April-May,No,HBCUs offering master's degrees,Expand and enhance graduate education at HBCUs,Institutional Capacity,FUTURE,hbcu@ed.gov,https://www2.ed.gov/programs/iduestitle3b/,Cold,Available if Wiley develops graduate programs
F003,U.S. Department of Education,HBCU Capital Financing Program,Federal,84.031D,500000,30000000,Varies,Rolling,No,Accredited HBCUs,"Finance capital projects including repair, renovation, and construction",Institutional Capacity,HIGH,hbcucp@ed.gov,https://www2.ed.gov/programs/hbcucapfin/,Cold,Below-market interest rate loans for facilities
F004,U.S. Department of Education,Student Support Services (TRIO),Federal,84.042A,220000,350000,5,January (5-yr cycle),No,"IHEs serving low-income, first-generation, disabled students",Increase retention and graduation rates,Student Success,HIGH,,https://www2.ed.gov/programs/triostudsupp/,Cold,Strong fit for Wiley's student population
F005,U.S. Department of Education,Upward Bound (TRIO),Federal,84.047A,250000,400000,5,January (5-yr cycle),No,IHEs with K-12 partnerships,Generate skills and motivation for college success among high school students,Student Success,MEDIUM,,https://www2.ed.gov/programs/trioupbound/,Cold,Requires K-12 partnerships in service area
F006,U.S. Department of Education,Upward Bound Math-Science (TRIO),Federal,84.047M,250000,400000,5,January (5-yr cycle),No,IHEs with K-12 partnerships,STEM preparation for underrepresented students,STEM Education,MEDIUM-HIGH,,https://www2.ed.gov/programs/triomathsci/,Cold,Aligns with STEM priorities
F007,U.S. Department of Education,Ronald E. McNair Program (TRIO),Federal,84.217A,220000,330000,5,January (5-yr cycle),No,IHEs preparing students for doctoral study,Prepare undergraduates for doctoral study,Student Success,MEDIUM,,https://www2.ed.gov/programs/triomcnair/,Cold,Good for faculty research development
F008,U.S. Department of Education,Teacher Quality Partnership Grants,Federal,84.336S,250000,1000000,5,February-March,Yes (100% Yr 4-5),IHEs with high-need LEA partnerships,Improve quality of new teachers in high-need fields,Teacher Preparation,HIGH,,https://www2.ed.gov/programs/tqpartnership/,Cold,Requires high-need LEA partnership
F009,U.S. Department of Education,Augustus F. Hawkins Centers of Excellence,Federal,84.418A,500000,1500000,5,Spring,No,"MSIs, HBCUs, TCUs with teacher prep programs",Strengthen teacher preparation at MSIs,Teacher Preparation,HIGHEST,,https://www2.ed.gov/programs/afhce/,Cold,Directly targets HBCUs with education programs
F010,U.S. Department of Education,MSEIP,Federal,84.120A,200000,750000,3,March,No,"MSIs, HBCUs",Improve STEM education quality at minority-serving institutions,STEM Education,HIGH,,https://www2.ed.gov/programs/iduesmsi/,Cold,Foundational STEM program for institutional improvement
